Razan Khalid;855081597;14 January 1974;0532710191;V61Q66;Nissan;2011;01 January 2012;13 February 2012;4902
Amer Mohammad;779154161;19 January 1987;0575442886;H98F36;Ford;2012;01 January 2012;17 February 2012;3478
Zeyad Oday;717186806;17 April 1990;0559930893;M97W91;Audi;2012;01 January 2012;15 March 2012;10212
Abedlrahman Awwad;677607728;26 July 2001;0563214511;N91F16;Nissan;2012;01 January 2012;21 February 2012;6120
Abdullah Jaber;755066709;14 August 1983;0584964750;C38C26;Kia;2010;01 January 2012;12 February 2012;2940
Tariq Abdallah;577656796;19 October 1973;0534761687;Z71U26;Mitsubishi;2010;01 January 2012;10 February 2012;3600
Saba Amer;507430388;7 February 1981;0531373780;C13I81;Ford;2012;01 January 2012;18 March 2012;6160
Amer Ahmad;453733252;17 October 1976;0559600685;R27T52;Ford;2012;02 January 2012;20 March 2012;6240
Saba Suleiman;639148354;26 June 1995;0522583249;P36B17;Honda;2010;02 January 2012;08 January 2012;621
Salem Alzeer;258071747;3 August 1999;0573930073;Z76J47;Audi;2010;02 January 2012;17 February 2012;6624
Suleiman Ahmad;533211164;12 April 1986;0516922406;X94J80;Volkswagen;2010;02 January 2012;06 March 2012;9344
Aseel Amer;974165712;2 January 1988;0513680099;P19T32;Hyundai;2010;02 January 2012;10 February 2012;2340
Zeyad Ahmad;583711441;7 April 1974;0591446538;S67P32;Mazda;2010;02 January 2012;01 February 2012;3375
Haneen Awwad;984588955;17 June 1999;0587315091;Y58S22;Kia;2011;02 January 2012;02 March 2012;4140
Jamal Awwad;677522816;14 November 1992;0569813645;P17F92;Volkswagen;2012;02 January 2012;08 March 2012;9900
Zeyad Jaber;869719811;2 June 1980;0530066628;S29M94;Mazda;2011;03 January 2012;26 February 2012;4941
Tariq Ahmad;184431550;26 December 1973;0563971915;Z29Q25;Volkswagen;2011;03 January 2012;13 February 2012;5412
Haneen Tariq;665536868;4 June 1978;0585660235;J35R40;Mazda;2010;03 January 2012;09 March 2012;6633
Mohammad Abedlrahman;202839154;3 October 1977;0574705869;F52W26;Hyundai;2011;03 January 2012;22 March 2012;6083
Mohammad Amer;136277961;14 February 1996;0556578207;M26B93;Volkswagen;2010;03 January 2012;05 January 2012;264
Razan Jamal;923369360;2 July 1984;0543349103;Y56W65;Audi;2011;03 January 2012;11 January 2012;960
Khalid Tariq;923853107;29 April 1978;0596390628;E69X86;Nissan;2012;03 January 2012;27 February 2012;5692
Aseel Abedlrahman;109786477;5 August 2002;0513019550;V27R24;Mitsubishi;2012;03 January 2012;21 March 2012;7020
Suleiman Salem;218637712;5 June 1998;0598929681;B83E58;Nissan;2011;03 January 2012;25 February 2012;5326
Nassar Abdullah;383997861;16 September 1986;0592361865;M10O30;BMW;2012;03 January 2012;14 March 2012;9372
Zeyad Awwad;116741945;4 January 1999;0554989627;Q54T85;Mazda;2010;03 January 2012;25 February 2012;5485
Salma Jaber;911827300;28 July 1973;0561332404;K68B30;Mitsubishi;2010;03 January 2012;17 February 2012;4185
Zeyad Salem;308616626;2 April 2000;0539531020;I59M44;Volkswagen;2012;03 January 2012;10 January 2012;952
Abedlrahman Abdullah;471624216;6 July 1987;0559045023;M26B93;Volkswagen;2010;06 January 2012;19 February 2012;6776
